Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoCurva: 1 = Equação, 2 = Tabela
TipoEquacao: 1 = Potência (Q(H) = a(H - h0)^n), 2 = Linear (Q(H) = a0 + a1H), 3 = Parabólica (Q(H) = a0 + a1H + a2H^2), 4 = Cúbica (Q(H) = a0 + a1H + a2H^2 + a3H^3)

Restrições da consulta:
Código da Estação:60635000


EstacaoCodigo;NivelConsistencia;PeriodoValidadeInicio;PeriodoValidadeFim;CotaMaxima;CotaMinima;TipoCurva;NumeroCurva;TipoEquacao;CoefA;CoefH0;CoefN;CoefA0;CoefA1;CoefA2;CoefA3;TabelaPassoCota;TabelaVazao
60635000;2;01/01/1947;30/04/1954;"213,0";"70,0";1;01/02;1;"5,3319";"0,53";"1,47";;;;;"1,0";
60635000;2;01/01/1947;30/04/1954;"400,0";"213,0";1;02/02;1;"2,1";"-0,06";"2,07";;;;;"1,0";
60635000;2;01/05/1954;15/09/1964;"236,0";"70,0";1;01/02;1;"7,0387";"0,58";"1,3";;;;;"1,0";
60635000;2;01/05/1954;15/09/1964;"500,0";"236,0";1;02/02;1;"2,1534";"-0,27";"2,0";;;;;"1,0";
60635000;2;16/09/1964;06/11/1973;"32,0";"0,0";1;01/03;1;"5,1247";"-0,51";"1,6";;;;;"1,0";
60635000;2;16/09/1964;06/11/1973;"82,0";"32,0";1;02/03;1;"0,599";"-1,53";"3,0";;;;;"1,0";
60635000;2;09/02/2017;05/12/2019;"229,0";"75,0";1;02/03;1;"7,4809";"-0,09";"1,25";;;;;"1,0";
60635000;2;09/02/2017;05/12/2019;"500,0";"229,0";1;03/03;1;"3,5447";"-0,85";"1,6";;;;;"1,0";
60635000;2;06/12/2019;31/12/2021;"62,0";"20,0";1;01/04;1;"11,4805";"0,18";"1,4";;;;;"1,0";
60635000;2;06/12/2019;31/12/2021;"181,0";"62,0";1;02/04;1;"6,2134";"-0,04";"1,3";;;;;"1,0";
60635000;2;06/12/2019;31/12/2021;"335,0";"181,0";1;03/04;1;"3,9169";"-0,29";"1,7";;;;;"1,0";
60635000;2;06/12/2019;31/12/2021;"500,0";"335,0";1;04/04;1;"3,5447";"-0,85";"1,6";;;;;"1,0";
60635000;2;05/01/2012;07/02/2015;"229,0";"82,0";1;02/03;1;"7,4809";"-0,09";"1,25";;;;;"1,0";
60635000;2;05/01/2012;07/02/2015;"500,0";"229,0";1;03/03;1;"3,5447";"-0,85";"1,6";;;;;"1,0";
60635000;2;08/02/2015;08/02/2017;"64,0";"10,0";1;01/03;1;"7,953";"-0,15";"1,9";;;;;"1,0";
60635000;2;08/02/2015;08/02/2017;"229,0";"64,0";1;02/03;1;"7,4809";"-0,09";"1,25";;;;;"1,0";
60635000;2;08/02/2015;08/02/2017;"500,0";"229,0";1;03/03;1;"3,5447";"-0,85";"1,6";;;;;"1,0";
60635000;2;09/02/2017;05/12/2019;"75,0";"0,0";1;01/03;1;"7,3543";"-0,15";"1,9";;;;;"1,0";
60635000;2;22/10/1996;31/12/2002;"239,0";"215,0";1;02/03;1;"6,2587";"-0,02";"1,492";;;;;"1,0";
60635000;2;22/10/1996;31/12/2002;"450,0";"239,0";1;03/03;1;"3,5447";"-0,85";"1,6";;;;;"1,0";
60635000;2;01/01/2003;04/01/2012;"106,0";"20,0";1;01/03;1;"7,0512";"-0,06";"1,508";;;;;"1,0";
60635000;2;01/01/2003;04/01/2012;"238,0";"106,0";1;02/03;1;"6,346";"-0,16";"1,388";;;;;"1,0";
60635000;2;01/01/2003;04/01/2012;"450,0";"238,0";1;03/03;1;"3,5447";"-0,85";"1,6";;;;;"1,0";
60635000;2;05/01/2012;07/02/2015;"82,0";"10,0";1;01/03;1;"5,7131";"-0,28";"1,6";;;;;"1,0";
60635000;2;13/04/1989;12/12/1989;"251,0";"70,0";1;01/02;1;"9,5815";"0,39";"1,2";;;;;"1,0";
60635000;2;13/04/1989;12/12/1989;"350,0";"251,0";1;02/02;1;"4,0691";"-0,49";"1,6";;;;;"1,0";
60635000;2;13/12/1989;21/10/1996;"135,0";"50,0";1;01/03;1;"2,4132";"-0,46";"2,4";;;;;"1,0";
60635000;2;13/12/1989;21/10/1996;"239,0";"135,0";1;02/03;1;"6,2587";"-0,02";"1,492";;;;;"1,0";
60635000;2;13/12/1989;21/10/1996;"400,0";"239,0";1;03/03;1;"3,5447";"-0,85";"1,6";;;;;"1,0";
60635000;2;22/10/1996;31/12/2002;"215,0";"20,0";1;01/03;1;"8,0774";"0,1";"1,254";;;;;"1,0";
60635000;2;14/10/1981;09/01/1985;"35,0";"-30,0";1;01/03;1;"11,9242";"-0,54";"1,6";;;;;"1,0";
60635000;2;14/10/1981;09/01/1985;"135,0";"35,0";1;02/03;1;"7,3254";"-0,93";"1,2";;;;;"1,0";
60635000;2;14/10/1981;09/01/1985;"350,0";"135,0";1;03/03;1;"7,8175";"-0,81";"1,2";;;;;"1,0";
60635000;2;10/01/1985;12/04/1989;"135,0";"60,0";1;01/03;1;"7,4304";"0,15";"1,65";;;;;"1,0";
60635000;2;10/01/1985;12/04/1989;"239,0";"135,0";1;02/03;1;"6,2587";"-0,02";"1,492";;;;;"1,0";
60635000;2;10/01/1985;12/04/1989;"500,0";"239,0";1;03/03;1;"3,5447";"-0,85";"1,6";;;;;"1,0";
60635000;2;24/05/1976;20/11/1976;"250,0";"82,0";1;03/03;1;"2,1534";"-1,08";"2,0";;;;;"1,0";
60635000;2;21/11/1976;21/02/1980;"31,0";"0,0";1;01/03;1;"2,9642";"-0,87";"3,0";;;;;"1,0";
60635000;2;21/11/1976;21/02/1980;"142,0";"31,0";1;02/03;1;"10,59";"-0,24";"1,3";;;;;"1,0";
60635000;2;21/11/1976;21/02/1980;"350,0";"142,0";1;03/03;1;"7,8175";"-0,81";"1,2";;;;;"1,0";
60635000;2;22/02/1980;13/10/1981;"142,0";"0,0";1;01/02;1;"9,6639";"-0,43";"1,22";;;;;"1,0";
60635000;2;22/02/1980;13/10/1981;"350,0";"142,0";1;02/02;1;"7,8175";"-0,81";"1,2";;;;;"1,0";
60635000;2;16/09/1964;06/11/1973;"450,0";"82,0";1;03/03;1;"2,1534";"-1,08";"2,0";;;;;"1,0";
60635000;2;07/11/1973;23/05/1976;"36,0";"10,0";1;01/03;1;"1,475";"-1,12";"3,0";;;;;"1,0";
