Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoSecao: 1 = Régua, 2 = Medição

Restrições da consulta:
Código da Estação:60635000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumLevantamento;TipoSecao;NumVerticais;DistanciaPIPF;EixoXDistMaxima;EixoXDistMinima;EixoYCotaMaxima;EixoYCotaMinima;ElmGeomPassoCota;Observacoes;Vertical
60635000;1;24/08/2022;;;1;45;"33,0";;;;;"10,0";;"7,3,88|16,7,96|16,1,103|15,5,107|14,9,118|14,3,130|13,7,40|12,98|11,163|10,284|9,320|8,370|6,384|4,379|2,372|0,359|77,08,654|72,08,628|67,08,590|62,08,540|56,08,455|51,08,385|47,331|42,290|37,278|32,8,267|32,3,230|29,179|27,6,116|26,7,40|26,3,0|25,7,0|25,1,0|24,5,0|23,9,163|23,3,78|22,7,78|22,1,79|21,5,81|20,9,84|20,3,84|19,7,85|19,1,78|18,5,76|17,9,80|"
60635000;2;16/09/2019;01/01/1900 00:00;0;2;39;"47,2";"64,2";"17,0";"387,0";"-44,0";"1,0";"Aplicado deslocamento horizontal de 17 m,";"4,2,387|62,3,359|60,3,332|55,3,290|50,3,272|47,9,267|45,7,237|44,3,206|40,9,148|40,1,78|38,6,14|38,2,-12|37,7,-30|37,2,-38|36,7,-42|36,2,-44|35,7,-42|35,2,-34|34,7,-34|34,2,-30|33,7,-18|33,2,-16|32,7,-24|32,2,-24|31,7,-22|31,2,-16|30,7,-12|30,2,-10|29,7,-8|29,2,-9|28,7,-8|28,2,-8|27,2,14|25,5,217|24,1,265|22,2,323|21,2,369|19,6,373|17,371|"
60635000;2;12/09/2018;01/01/1900 00:00;0;2;41;"46,7";"63,7";"17,0";"363,0";"-49,0";"1,0";"Aplicado deslocamento horizontal de 17 m,";"4,9,-41|35,4,-42|35,9,-46|36,4,-49|36,9,-47|37,4,-39|38,2,12|39,7,64|40,5,113|40,9,159|44,1,206|45,6,275|47,7,270|49,8,273|52,8,275|55,8,300|58,8,324|61,8,363|63,7,348|34,4,-33|33,9,-32|33,4,-30|32,9,-31|32,4,-25|31,9,-26|31,4,-25|30,9,-20|30,4,-18|29,9,-16|29,4,-10|28,9,-8|28,4,-5|27,4,12|25,9,203|25,1,238|23,7,272|22,1,325|21,4,356|19,5,359|18,8,353|17,355|"
60635000;2;31/08/2017;01/01/1900 00:00;0;2;39;"57,6";"73,6";"16,0";"531,0";"-46,0";"1,0";"Aplicado deslocamento horizontal de 16 m,";"3,8,-31|34,3,-34|34,8,-37|35,3,-43|35,8,-46|36,3,-45|36,8,-42|37,3,-40|37,8,-29|39,2,12|40,2,46|41,2,116|44,2,204|45,8,278|50,1,272|55,1,293|60,1,335|63,1,394|68,1,450|71,1,500|73,6,531|33,3,-34|32,8,-30|32,3,-27|31,8,-24|31,3,-22|30,8,-19|30,3,-16|29,8,-12|29,3,-6|28,8,-7|28,3,-8|27,8,-4|27,3,12|25,8,209|23,8,275|21,8,354|19,8,372|16,357|"
60635000;2;12/07/2016;01/01/1900 00:00;0;2;30;"88,0";"101,0";"13,0";"698,0";"-51,0";"1,0";"Aplicado deslocamento horizontal de 13 m,";"3,350|18,368|20,5,373|22,5,340|25,253|26,223|27,7,19|28,7,-14|29,7,-19|30,7,-25|31,8,-31|32,7,-29|33,7,-29|34,7,-35|35,7,-44|36,7,-39|37,7,-51|38,7,-33|40,1,19|41,1,92|46,1,231|50,8,269|55,3,285|59,9,321|64,9,386|73,9,509|78,9,560|88,9,631|93,9,661|101,698|"
60635000;2;27/07/2015;01/01/1900 00:00;0;2;33;"80,25";"100,25";"20,0";"702,0";"-39,0";"1,0";"Aplicado deslocamento horizontal de 20 m,";"0,378|22,2,341|23,2,306|24,4,272|25,4,250|26,2,186|27,42|28,5,-35|29,2,-37|29,89,-38|30,63,-39|31,31,-32|32,-25|32,65,-29|33,33,-20|33,99,-19|34,77,-17|35,51,-19|36,22,-13|36,96,-10|37,45,-4|39,95,42|40,75,104|41,75,172|44,25,208|46,05,269|50,25,275|55,25,296|64,25,392|74,25,530|84,25,606|94,25,669|100,25,702|"
60635000;2;14/07/2014;;0;2;38;"84,05";"99,7011";"15,6511";"-41,0";"698,0";"10,0";;"5,6511,352|20,7511,371|23,2511,325|25,2511,257|26,8511,165|27,5511,37|28,0511,-9|28,5411,-11|29,0411,-16|29,5911,-19|30,0411,-20|30,5511,-20|31,0011,-22|31,5811,-23|32,0711,-26|32,5511,-36|33,0911,-36|33,5111,-34|34,0611,-34|34,5511,-26|35,0411,-35|35,5711,-30|36,1011,-41|36,6311,-41|37,1211,-37|37,6111,-23|38,1011,-1|38,6011,37|40,3011,161|44,3011,225|49,7011,271|57,7011,316|63,7011,388|71,7011,490|79,7011,574|87,7011,624|95,7011,681|99,7011,698|"
60635000;2;26/06/2013;;0;2;27;"44,35";"65,1007";"20,7507";"-38,0";"396,0";"10,0";;"4,7507,211|46,8507,278|51,0507,279|56,0507,302|61,0507,341|65,1007,396|20,7507,381|23,7507,312|25,7507,261|27,7507,58|28,7507,-21|29,7507,-24|30,7507,-26|31,7507,-22|32,7507,-17|33,7507,-24|34,7507,-32|35,7507,-37|36,7507,-38|37,7507,-14|38,7507,30|39,2507,43|39,7507,38|40,2507,28|40,7507,23|41,4507,58|41,7507,164|"
60635000;2;13/08/2012;;0;2;29;"54,0";"64,3899";"10,3899";"-56,0";"388,0";"10,0";;"0,3899,352|15,3899,360|20,3899,373|23,8899,291|26,0899,240|27,4899,49|27,9899,-19|28,9899,-30|29,9899,-26|30,9899,-25|31,9899,-8|32,9899,-34|33,9899,-39|34,9899,-41|35,4899,-55|35,9899,-54|36,4899,-49|36,9899,-47|37,4899,-48|37,9899,-56|38,4899,-53|38,9899,-40|39,4899,-23|40,9899,49|42,4899,181|47,4899,270|50,3899,271|55,3899,293|64,3899,388|"
60635000;2;16/07/2011;;0;2;25;"44,5";"64,8112";"20,3112";"-44,0";"388,0";"10,0";;"0,3112,372|23,3112,308|25,8112,240|26,8112,173|27,5112,66|28,5112,-22|29,5112,-26|30,5112,-20|31,5112,-22|32,5112,-4|33,5112,-28|34,5112,-28|35,5112,-40|36,5112,-44|37,5112,-32|38,5112,-44|39,5112,-36|40,5112,-18|41,3112,66|41,8112,167|45,8112,245|50,6112,271|55,6112,292|60,6112,331|64,8112,388|"
