Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:60640000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
60640000;1;01/09/2024;;1;1;"15,0944";"0,8";"1,9427";29;26;1;1;1;"0,0";0;"2,0204";"2,0204";"1,9711";"1,6896";"1,7348";"1,3916";"1,2358";"1,2738";"1,3124";"1,7807";"1,9711";"1,6896";"1,7348";"1,6896";"1,7807";"1,3916";"1,645";"1,4735";"1,5154";"1,3124";"2,0204";"1,3124";"1,0215";"0,8601";"1,0215";"0,8";"0,8601";"0,8297";"15,0944";"1,8273";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60640000;1;01/07/2024;;1;1;"4,6546";"3,1531";"3,676";1;30;1;1;1;;0;"4,6546";"3,9709";"3,8987";"3,8272";"3,9709";"3,8272";"4,0439";"3,8272";"3,7565";"4,192";"3,6865";"3,5487";"3,7565";"3,6173";"3,481";"3,481";"3,481";"3,6865";"4,0439";"3,8272";"3,5487";"3,6173";"3,4139";"3,5487";"3,481";"3,5487";"3,2172";"3,2172";"3,2172";"3,1531";"3,4139";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60640000;1;01/06/2024;;1;1;"6,7824";"4,192";"5,0879";1;29;1;1;1;"0,0";0;"6,7824";"6,3019";"6,0231";"6,0231";"5,7514";"5,7514";"5,5741";"5,229";"5,5741";"5,6623";"5,5741";"5,1446";"5,229";"4,7344";"4,8149";"4,5756";"4,4974";"4,4974";"4,6546";"4,4974";"4,8962";"4,6546";"4,4199";"4,6546";"4,4199";"4,3432";"4,3432";"4,4199";"4,192";"5,4";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60640000;1;01/05/2024;;1;1;"9,5969";"5,9317";"7,4166";1;26;1;1;1;"0,0";0;"9,5969";"9,5969";"8,9144";"9,0835";"8,4548";"8,8302";"8,4548";"8,6785";"7,5927";"7,5927";"7,5927";"7,3853";"7,4886";"7,4886";"6,9801";"6,9801";"7,4886";"6,8809";"6,8809";"6,7824";"7,1811";"6,4917";"6,2082";"6,2082";"6,3964";"5,9317";"6,3019";"6,4917";"6,4917";"6,5878";"6,8809";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60640000;1;01/04/2024;;1;1;"47,0339";"9,5969";"21,6502";5;30;1;1;1;"0,0";0;"36,7053";"23,0132";"24,1619";"26,5119";"47,0339";"37,9013";"40,3296";"38,9746";"21,4353";"21,2128";"24,7429";"32,1721";"33,7049";"29,1755";"19,2439";"16,2035";"14,6974";"15,7973";"17,9657";"16,6129";"13,2389";"12,8583";"12,2939";"11,3715";"11,009";"10,9189";"10,3836";"10,2071";"10,0315";"9,5969";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60640000;1;01/03/2024;;1;1;"53,609";"15,1942";"29,589";28;1;1;1;1;;0;"15,1942";"15,4948";"17,6505";"23,356";"21,5468";"19,1363";"15,6963";"18,6013";"30,2883";"34,0916";"33,1915";"50,3604";"24,0462";"21,3239";"21,4353";"21,4353";"20,3302";"28,0761";"29,1755";"32,5532";"36,1777";"24,3938";"30,9122";"39,2444";"39,6503";"30,9122";"47,7509";"53,609";"44,0605";"34,4798";"43,0832";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60640000;1;01/02/2024;;1;1;"109,1747";"11,7377";"43,285";9;1;1;1;1;;0;"11,7377";"23,2415";"35,9148";"42,251";"42,251";"57,6832";"69,4841";"79,5823";"109,1747";"98,4693";"93,8233";"81,2788";"64,522";"37,3683";"32,6805";"29,2985";"26,5119";"26,5119";"24,51";"22,4456";"26,155";"35,3908";"36,8376";"36,8376";"31,2885";"23,7003";"21,2128";"18,2826";"16,8188";;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
60640000;1;01/01/2024;;1;1;"36,3094";"12,2939";"23,6667";4;30;1;1;1;;0;"34,9994";"29,545";"34,4798";"36,3094";"22,3326";"23,8154";"24,51";"26,6312";"28,1976";"20,6598";"18,7079";"17,1292";"14,0108";"12,3874";"15,6963";"22,3326";"28,3192";"20,991";"16,8188";"15,1942";"29,6685";"27,4711";"19,3517";"32,808";"28,6852";"35,1298";"28,0761";"19,1363";"13,8165";"12,2939";"24,1619";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60640000;1;01/12/2023;;1;1;"42,5278";"2,3848";"9,684";31;19;2;2;2;;0;"5,8411";"4,4974";"5,1446";"7,4886";"12,2007";"14,9949";"9,6833";"5,9317";"4,192";"3,6865";"5,4";"13,9135";"5,9317";"5,5741";"4,5756";"3,4139";"2,9038";"4,1176";"2,3848";"2,666";"17,8604";"26,0364";"16,9221";"11,4627";"11,9222";"9,9441";"10,0315";"12,5751";"9,5969";"6,7824";"42,5278";1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1
60640000;1;01/11/2023;;1;1;"25,4458";"1,1258";"5,668";27;19;1;1;1;;0;"3,2172";"4,192";"3,4139";"3,481";"3,8272";"3,8987";"3,6173";"3,0897";"3,282";"2,4396";"2,3306";"1,7348";"2,7244";"1,4322";"1,6011";"1,1618";"1,4735";"1,6896";"1,1258";"15,8985";"6,7824";"9,5969";"6,9801";"7,2828";"5,9317";"4,4199";"25,4458";"16,5102";"13,3346";"8,1254";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60640000;1;01/10/2023;;1;1;"14,5987";"2,2772";"5,8131";15;21;1;1;1;"0,0";0;"6,0231";"6,7824";"9,5107";"10,5611";"11,4627";"8,6626";"8,1254";"6,1152";"5,8411";"4,9782";"4,4974";"4,8149";"3,9709";"11,9222";"14,5987";"8,9988";"5,229";"4,6546";"3,3476";"2,666";"2,2772";"2,666";"3,282";"3,1531";"3,0897";"3,6173";"4,1176";"3,5487";"2,7244";"2,666";"6,3019";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;;1;1;1;1;1;;1;1;1;1
60640000;1;01/09/2023;;1;1;"6,0231";"2,666";"4,2117";30;24;1;1;1;"0,0";0;"5,061";"5,4";"4,9782";"5,4";"5,3141";"5,3141";"4,8962";"4,6546";"4,4974";"3,7565";"4,0439";"4,192";"4,2672";"3,8987";"3,5487";"3,2172";"4,9782";"4,192";"4,6546";"4,192";"3,3476";"3,0897";"2,9038";"2,666";"2,7244";"2,8433";"3,7565";"4,0439";"4,4974";"6,0231";;;1;;1;;;1;;;1;1;;1;;1;;;;;1;;;1;1;;;1;;;1;0
60640000;1;01/08/2023;;1;1;"5,8411";"3,481";"4,7283";1;20;1;1;1;"0,0";0;"5,8411";"5,7514";"5,6623";"5,3141";"5,4";"5,4867";"5,4";"5,6623";"4,8962";"4,7344";"4,8149";"4,8149";"4,7344";"4,5756";"4,6546";"4,7344";"4,3432";"4,0439";"4,3432";"3,481";"4,192";"4,6546";"4,3432";"4,192";"3,7565";"3,6173";"3,6173";"4,6546";"4,6546";"5,229";"4,9782";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60640000;1;01/07/2023;;1;1;"8,5663";"5,8411";"7,1452";3;29;1;1;1;"0,0";0;"8,4548";"8,2344";"8,5663";"8,1254";"8,0173";"8,0173";"7,1811";"7,5927";"8,0173";"7,4886";"6,9801";"7,1811";"7,0802";"7,2828";"7,0802";"7,1811";"7,3853";"7,6976";"7,0802";"6,6847";"6,4917";"6,5878";"6,5878";"7,5927";"6,1152";"6,4917";"6,3019";"5,9317";"5,8411";"6,1152";"6,1152";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60640000;1;01/06/2023;;1;1;"11,2805";"8,4548";"10,3373";1;30;2;2;2;"0,0";0;"11,2805";"11,2805";"11,2805";"11,2805";"11,2805";"11,2805";"11,2805";"10,7395";"10,9189";"11,0992";"10,3836";"11,2805";"10,7395";"10,3836";"10,2952";"10,5611";"10,5611";"10,5611";"10,0315";"10,2071";"9,8569";"9,5969";"10,1192";"9,5107";"9,5107";"9,6833";"9,1684";"8,8302";"8,6626";"8,4548";;2;2;2;2;2;2;2;2;;2;;;;;;;;;;;;;2;;;;;;;;0
60640000;1;01/05/2023;;1;1;"19,1363";"11,2805";"13,4601";1;27;2;2;2;"0,0";0;"19,1363";"16,7157";"15,8985";"16,2035";"15,5954";"14,8955";"14,8955";"14,1082";"13,9135";"13,9135";"13,9135";"13,9135";"13,5267";"12,8583";"12,9531";"13,1434";"12,6693";"13,4306";"12,8583";"12,3874";"12,3874";"12,2007";"12,2007";"11,9222";"11,7377";"11,4627";"11,2805";"11,5541";"12,2939";"11,8298";"11,4627";2;;;2;2;;;;2;2;2;2;2;;;;2;2;2;2;2;;;2;2;;2;2;2;;2
60640000;1;01/04/2023;;1;1;"46,178";"18,6013";"26,0152";14;27;2;2;2;"0,0";0;"18,8147";"19,0289";"19,2439";"19,5678";"19,7847";"20,2207";"20,5497";"22,4456";"27,7126";"29,1755";"32,808";"35,3908";"39,7858";"46,178";"44,4815";"36,8376";"24,8596";"21,8825";"24,1619";"27,2303";"26,7507";"24,9765";"22,2198";"24,1619";"22,1072";"19,6762";"18,6013";"24,8596";"23,9308";"23,0132";;2;2;2;2;2;2;2;;;;2;2;;;2;2;;;2;;;;2;;;2;2;2;2;2;0
60640000;1;01/03/2023;;1;1;"76,7245";"17,8604";"33,355";21;6;2;2;2;"0,0";0;"20,1114";"23,0132";"22,1072";"23,1273";"19,2439";"17,8604";"18,9217";"24,7429";"31,0375";"33,1915";"23,7003";"24,3938";"25,9179";"33,3196";"47,6072";"55,1069";"57,3781";"53,9076";"50,2142";"44,6221";"76,7245";"54,5062";"55,8607";"35,6525";"29,6685";"26,5119";"23,2415";"20,991";"20,8804";"20,1114";"20,3302";;;;2;;2;2;2;2;;;;2;;2;;;2;;;;;;;;2;;;;;
60640000;1;01/02/2023;;1;1;"52,5684";"19,8934";"34,3813";11;17;2;2;2;"0,0";0;"39,5148";"33,1915";"34,9994";"39,2444";"30,2883";"24,7429";"27,1101";"29,545";"32,0454";"46,3203";"52,5684";"24,51";"22,8993";"44,0605";"25,5636";"21,4353";"19,8934";"35,2602";"33,9626";"38,9746";"49,6311";"46,4628";"44,4815";"42,3894";"39,6503";"33,1915";"27,9548";"22,7856";;;;;;2;;;2;2;2;2;;;2;;;;;;;;2;;2;;2;2;2;2;;0;0;0
60640000;1;01/01/2023;;1;1;"64,3639";"20,5497";"35,4539";28;3;1;1;1;"0,0";0;"20,991";"22,8993";"20,5497";"32,299";"32,1721";"47,4637";"43,5012";"48,4713";"45,1859";"42,1128";"37,9013";"35,3908";"26,3928";"27,8336";"30,2883";"37,2354";"39,9216";"31,5402";"22,7856";"23,0132";"31,5402";"23,5853";"30,5374";"28,9301";"24,3938";"21,9947";"41,6991";"64,3639";"60,4514";"56,1632";"47,4637";;;;1;;1;;;;;1;1;;;;;1;;;;;;;;;1;1;1;;;
60640000;1;01/12/2022;;1;1;"51,24";"12,5751";"26,8949";19;8;1;1;1;"0,0";0;"24,9765";"23,356";"38,1688";"23,7003";"14,8955";"15,3944";"14,6974";"12,5751";"24,2778";"19,6762";"36,3094";"37,3683";"44,341";"27,3506";"20,2207";"34,9994";"37,2354";"44,7628";"51,24";"46,0359";"27,3506";"23,0132";"20,77";"17,9657";"18,1768";"23,9308";"27,9548";"21,4353";"20,77";"19,1363";"21,6585";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
