Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:60650000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
60650000;1;03/07/2024;01/01/1900 13:18;153;"109,0";"10,427";"24,815";"31,887";"0,42";"0,778";Indimar/Thales;16
60650000;1;18/06/2024;01/01/1900 10:26;212;"114,0";"66,9";"90,9";"45,6";"0,737";"1,99";Arthur/Jessivan;4
60650000;1;21/03/2024;01/01/1900 10:23;152;"298,0";"115,0";"115,6";"41,2";"1,08";"2,77";Victor / Sintia;4
60650000;1;09/11/2023;01/01/1900 09:32;151;"106,0";"8,981";"21,974";"23,668";"0,409";"0,93";Paulo/Ruimar;16
60650000;1;16/08/2023;01/01/1900 11:04;150;"112,0";"10,79";"28,655";"26,926";"0,377";"1,064";Elessandro/Robson;16
60650000;1;04/08/2023;01/01/1900 10:14;149;"108,0";"10,207";"29,371";"27,142";"0,348";"1,082";Robson/Paulo;16
60650000;1;05/06/2023;01/01/1900 10:58;148;"126,0";"20,124";"22,308";"34,359";"0,902";"0,649";Robson / Fernando;16
60650000;1;10/02/2023;01/01/1900 10:15;147;"217,0";"63,0";"52,695";"38,177";"1,197";"1,38";Robson/Chagas;16
60650000;1;17/11/2022;01/01/1900 09:37;146;"112,0";"15,015";"46,002";"30,673";"0,327";"1,499";Elessandro/Indimar;16
60650000;1;12/07/2022;01/01/1900 13:45;145;"106,0";"10,495";"13,133";"26,977";"0,826";"0,486";Elessandro/Pedro;16
60650000;1;25/03/2022;01/01/1900 08:36;144;"169,0";"38,103";"59,177";"33,931";"0,644";"1,744";Indimar/Vitor;16
