Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:60680000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
60680000;1;08/08/2024;01/01/1900 10:30;320;08/08/2024;01/01/1900 08:59;320;61;"33,9";"97,2";"70,9";"0,3";"6,4";61;"22,8";;"153,5";
60680000;1;03/05/2024;01/01/1900 10:30;319;03/05/2024;01/01/1900 08:59;319;145;"111,1";"149,4";"72,6";"0,74";"25,5";145;"25,7";;"99,2";
60680000;1;18/03/2024;01/01/1900 08:45;318;18/03/2024;01/01/1900 07:46;318;155;"123,16";"153,5";"70,84";"0,8";"81,7";155;"28,3";;"90,96";
60680000;1;08/11/2023;01/01/1900 13:00;317;08/11/2023;01/01/1900 11:00;317;64;"44,382";"96,918";"70,322";"0,458";"50,9";64;"30,0";;"150,0";
60680000;1;26/06/2023;01/01/1900 14:20;316;26/06/2023;01/01/1900 13:47;316;108;"77,26";"123,761";"70,98";"0,624";"13,1";108;"19,9";;"106,1";
60680000;1;29/03/2023;01/01/1900 10:35;315;29/03/2023;01/01/1900 09:13;315;200;"189,0";"182,4";"66,6";"1,03";"70,2";200;"25,8";;"85,2";
60680000;1;28/07/2022;01/01/1900 12:00;314;28/07/2022;01/01/1900 08:22;314;60;"35,445";"99,632";"69,801";"0,358";"1,1";60;"26,9";;"171,0";
60680000;1;18/11/2021;01/01/1900 13:41;312;18/11/2021;01/01/1900 12:20;312;181;"164,0";"191,3";"71,2";"0,857";"130,4";181;"26,1";;"2435,0";
60680000;1;11/08/2021;01/01/1900 10:20;311;11/08/2021;01/01/1900 09:15;311;56;"32,781";"97,122";"68,129";"0,338";"3,0";56;"20,7";;"106,1";
60680000;1;28/01/2021;01/01/1900 11:45;310;28/01/2021;01/01/1900 10:40;310;104;"79,517";"116,816";"61,722";"0,682";"50,6";104;"28,3";;"92,8";
60680000;1;12/02/2020;01/01/1900 09:48;309;12/02/2020;01/01/1900 09:48;309;253;"258,666";"223,194";"75,314";"1,159";"134,7";253;"26,0";;"76,6";
60680000;1;17/10/2019;01/01/1900 10:05;307;17/10/2019;01/01/1900 09:19;307;159;"18,331";"80,015";"72,362";"0,229";"4,1";159;"27,8";;"174,9";
60680000;1;28/06/2019;01/01/1900 14:05;305;28/06/2019;01/01/1900 12:34;305;83;"55,764";"112,598";"69,771";"0,495";"4,3";83;"22,7";;"105,8";
60680000;1;21/02/2019;01/01/1900 10:20;303;21/02/2019;01/01/1900 09:27;303;178;"158,16";"184,28";"68,0";"0,806";"142,4";178;"26,225";;"59,8";
60680000;1;23/10/2018;01/01/1900 11:23;301;23/10/2018;01/01/1900 08:36;301;123;"71,802";"128,58";"70,243";"0,558";"41,9";123;"28,4";;"113,3";
60680000;1;26/06/2018;01/01/1900 09:00;299;26/06/2018;01/01/1900 08:20;299;89;"63,593";"104,406";"71,415";"0,595";"7,7";89;"21,9";;"100,8";
60680000;1;16/02/2018;01/01/1900 12:50;297;16/02/2018;01/01/1900 11:41;297;139;"106,848";"155,73";"71,313";"0,686";"64,0";139;"28,7";;"88,0";
60680000;1;06/11/2017;01/01/1900 19:46;295;06/11/2017;01/01/1900 18:58;295;127;"91,233";"96,559";"80,21";"0,913";"43,2";127;"27,6";;"311,0";
60680000;1;28/08/2017;01/01/1900 09:21;264;28/08/2017;01/01/1900 07:48;264;32;"20,849";"82,822";"69,015";"0,255";"2,2";30;"23,3";;"153,3";
60680000;1;27/06/2017;01/01/1900 10:00;293;27/06/2017;01/01/1900 09:02;293;60;"38,469";"101,405";"70,26";"0,377";"4,6";60;"20,9";;"115,7";
60680000;1;18/04/2017;01/01/1900 10:53;292;18/04/2017;01/01/1900 08:34;292;102;"74,233";"115,335";"68,47";"0,643";"39,1";102;"27,61";;"90,2";
60680000;1;03/02/2017;01/01/1900 13:40;291;03/02/2017;01/01/1900 12:39;291;115;"98,607";"142,939";"71,56";"0,698";"75,0";115;"28,26";;"93,3";
60680000;1;19/10/2016;01/01/1900 11:05;290;19/10/2016;01/01/1900 09:19;290;31;"21,07";"84,44";"71,156";"0,25";"4,3";31;"29,8";;"107,0";
60680000;1;18/07/2016;01/01/1900 10:15;289;18/07/2016;01/01/1900 08:35;289;55;"32,769";"100,81";"67,7";"0,326";"2,7";55;"19,4";;"194,8";
60680000;1;28/10/2015;01/01/1900 11:58;287;28/10/2015;01/01/1900 10:02;287;53;"35,317";"86,876";"71,54";"0,407";"12,2";53;"28,3";;;
60680000;1;24/03/2015;01/01/1900 12:17;285;24/03/2015;01/01/1900 09:29;285;330;"427,4";"298,19";"76,0";"1,465";"299,8";343;"25,16";;;
60680000;1;13/11/2014;01/01/1900 11:35;284;13/11/2014;01/01/1900 10:20;284;107;"86,136";"127,408";"71,99";"0,677";"244,5";107;"26,0";;;
60680000;1;22/07/2014;01/01/1900 10:55;283;22/07/2014;01/01/1900 09:00;283;93;"71,186";"128,45";"71,2";"0,554";"7,3";93;"21,4";;;
60680000;1;19/03/2014;01/01/1900 12:10;282;19/03/2014;01/01/1900 08:50;282;184;"180,725";"189,69";"71,4";"0,953";"169,0";185;"26,8";;;
60680000;1;15/11/2013;01/01/1900 10:45;281;15/11/2013;01/01/1900 09:00;281;127;"108,121";"148,12";"71,3";"0,73";"43,6";122;"28,0";;;
60680000;1;09/04/2013;01/01/1900 11:30;280;09/04/2013;01/01/1900 09:20;280;254;"312,724";"251,02";"73,0";"1,248";"113,9";255;"26,3";;"57,8";
60680000;1;03/09/2012;01/01/1900 11:10;278;03/09/2012;01/01/1900 09:20;278;71;"48,923";"110,7";"70,6";"0,428";"7,3";71;"24,8";;"85,8";
60680000;1;26/05/2012;01/01/1900 11:00;277;26/05/2012;01/01/1900 09:10;277;151;"130,02";"165,94";"71,3";"0,784";"20,2";151;"23,2";;"78,54";
60680000;1;19/10/2011;01/01/1900 12:08;276;19/10/2011;01/01/1900 10:00;276;148;"116,718";"166,87";"71,7";"0,898";"98,87";148;"26,0";"145,02";"94,53";
60680000;1;04/10/2010;01/01/1900 11:30;275;04/10/2010;01/01/1900 09:10;275;69;"48,4";"110,0";"70,2";"0,441";"23,092";69;"27,0";;"128,4";
60680000;1;16/06/2010;01/01/1900 13:10;274;16/06/2010;01/01/1900 10:00;274;119;"103,0";"148,0";"71,5";"0,698";"11,903";119;"21,0";"12,08";"80,44";
60680000;1;16/06/2010;01/01/1900 11:00;274;16/06/2010;01/01/1900 13:10;;119;"103,259";"147,99";"71,5";"0,698";"11,903";119;"21,0";"12,08";"80,44";
60680000;1;03/12/2009;01/01/1900 11:50;273;03/12/2009;01/01/1900 09:45;273;183;"187,214";"191,26";"71,5";"0,979";"319,7";183;"25,8";"374,3";"66,68";
60680000;1;08/09/2009;01/01/1900 10:45;272;08/09/2009;01/01/1900 08:40;272;92;"68,585";"120,69";"70,4";"0,568";"19,26";92;"26,1";"22,91";"95,5";
60680000;1;27/04/2009;01/01/1900 10:25;271;27/04/2009;01/01/1900 08:20;271;171;"161,0";"180,0";"70,1";"0,894";"58,39";171;"24,1";"65,14";"74,0";
60680000;1;14/11/2008;01/01/1900 11:30;270;14/11/2008;01/01/1900 08:15;270;143;"126,0";"161,0";"70,0";"0,784";"74,33";143;"26,5";"89,28";"102,0";
60680000;1;23/07/2008;01/01/1900 11:40;269;23/07/2008;01/01/1900 08:50;269;122;"107,0";"156,0";"70,8";"0,683";"13,61";122;"19,5";"16,82";"76,0";
60680000;1;19/09/2007;01/01/1900 12:00;268;19/09/2007;01/01/1900 09:00;268;49;"39,027";"101,26";"69,9";"0,385";"5,21";49;"26,2";"5,88";"97,0";
60680000;1;02/09/2005;01/01/1900 11:10;266;02/09/2005;01/01/1900 13:50;266;56;"39,398";"96,5";"66,8";"0,408";"9,16";56;"24,6";"6,86";"85,5";
60680000;1;25/11/2004;01/01/1900 10:20;265;25/11/2004;01/01/1900 08:10;265;89;"70,793";"119,26";"67,3";"0,594";"20,27";89;"27,2";"22,13";"88,8";
60680000;1;01/09/2004;01/01/1900 11:30;264;01/09/2004;01/01/1900 09:30;264;82;"64,1";"115,0";"67,0";"0,557";"7,75";82;"23,0";"13,15";"87,0";
